date;open;high;low;close;volume
2013.03.07;129.769;131.181;129.731;131.042;47153
2013.03.08;131.043;131.341;129.550;130.042;36352
2013.03.11;129.892;130.535;129.793;130.344;36137
2013.03.12;130.341;130.742;129.909;130.277;47365
2013.03.13;130.277;130.646;129.228;129.568;47362
2013.03.14;129.568;130.311;129.110;130.124;53321
2013.03.15;130.124;131.069;130.023;130.754;49765
2013.03.18;129.071;129.954;128.817;129.425;59157
2013.03.19;129.423;129.694;128.438;128.578;60018
2013.03.20;128.578;129.776;128.566;129.330;52707
2013.03.21;129.331;129.551;128.799;128.980;54341
2013.03.22;128.981;130.095;128.880;129.867;46525
2013.03.25;129.724;130.479;128.296;128.593;56987
2013.03.26;128.596;128.895;128.286;128.633;48150
2013.03.27;128.632;128.668;127.509;127.785;47403
2013.03.28;127.786;128.443;127.550;128.144;44316
2013.03.29;128.144;128.368;127.930;128.148;20433
2013.04.01;128.112;128.677;127.710;128.435;27167
2013.04.02;128.431;128.775;128.086;128.223;41697
2013.04.03;128.221;128.639;127.898;128.427;39340
2013.04.04;128.427;129.487;127.454;129.330;51336
2013.04.05;129.330;130.397;129.005;129.915;48511
2013.04.08;129.937;130.376;129.683;130.184;42375
2013.04.09;130.184;131.029;130.045;130.812;46645
2013.04.10;130.811;131.214;130.521;130.667;41753
2013.04.11;130.668;131.380;130.431;131.065;45086
2013.04.12;131.065;131.262;130.366;131.082;45206
2013.04.15;131.025;131.094;130.210;130.466;55627
2013.04.16;130.466;132.015;130.275;131.790;59273
2013.04.17;131.790;131.995;130.011;130.355;57946
2013.04.18;130.355;130.961;130.208;130.483;55587
2013.04.19;130.485;131.282;130.470;130.510;45677
2013.04.22;130.691;130.840;130.150;130.615;40961
2013.04.23;130.615;130.831;129.730;130.006;49025
2013.04.24;130.010;130.340;129.547;130.111;44259
2013.04.25;130.111;130.933;129.887;130.088;44918
2013.04.26;130.090;130.475;129.905;130.267;49241
2013.04.29;130.585;131.163;130.318;130.929;39215
2013.04.30;130.929;131.858;130.540;131.664;42841
2013.05.01;131.667;132.427;131.605;131.836;38963
2013.05.02;131.842;132.176;130.376;130.618;47452
2013.05.03;130.620;131.582;130.323;131.131;41727
2013.05.06;131.170;131.406;130.534;130.727;29352
2013.05.07;130.728;131.315;130.677;130.787;35949
2013.05.08;130.787;131.944;130.715;131.600;39917
2013.05.09;131.592;131.769;130.098;130.441;42819
2013.05.10;130.446;130.506;129.350;129.853;52419
2013.05.13;129.756;129.982;129.415;129.820;42328
2013.05.14;129.817;130.293;129.129;129.313;48751
2013.05.15;129.313;129.424;128.430;128.802;47559
2013.05.16;128.808;129.297;128.463;128.829;45602
2013.05.17;128.835;128.897;127.962;128.363;42052
2013.05.20;128.446;129.006;128.192;128.839;37774
2013.05.21;128.840;129.333;128.413;129.061;44374
2013.05.22;129.055;129.980;128.335;128.529;58662
2013.05.23;128.527;129.564;128.214;129.321;71861
2013.05.24;129.322;129.933;129.043;129.278;60141
2013.05.27;129.363;129.485;129.152;129.335;28779
2013.05.28;129.332;129.496;128.493;128.522;57184
2013.05.29;128.522;129.775;128.378;129.401;64374
2013.05.30;129.398;130.614;129.334;130.440;64449
2013.05.31;130.458;130.593;129.442;129.956;63023
2013.06.03;129.922;131.074;129.555;130.700;57303
2013.06.04;130.699;131.012;130.426;130.823;56611
2013.06.05;130.821;131.157;130.532;130.923;62140
2013.06.06;130.923;133.045;130.749;132.453;65838
2013.06.07;132.452;132.844;131.915;132.168;70848
2013.06.10;131.917;132.687;131.772;132.566;55336
2013.06.11;132.567;133.171;132.322;133.137;67927
2013.06.12;133.135;133.589;132.656;133.370;60716
2013.06.13;133.369;133.898;132.786;133.756;65269
2013.06.14;133.734;133.734;132.947;133.445;56672
2013.06.17;133.487;133.803;133.184;133.620;45015
2013.06.18;133.623;134.156;133.258;133.940;54620
2013.06.19;133.941;134.158;132.621;132.959;53778
2013.06.20;132.959;133.015;131.612;132.270;80023
2013.06.21;132.268;132.541;130.988;131.209;65213
2013.06.24;131.042;131.438;130.592;131.232;66324
2013.06.25;131.232;131.508;130.651;130.821;62448
2013.06.26;130.822;130.870;129.848;130.067;62392
2013.06.27;130.116;130.545;129.999;130.377;48582
2013.06.28;130.378;131.022;129.911;130.078;50885
2013.07.01;130.144;130.700;130.052;130.614;46839
2013.07.02;130.614;130.780;129.636;129.816;53009
2013.07.03;129.815;130.314;129.230;130.084;56369
2013.07.04;130.084;130.232;128.831;129.120;49935
2013.07.05;129.114;129.167;128.061;128.291;55458
2013.07.08;128.204;128.819;128.117;128.679;46248
2013.07.09;128.680;128.981;127.553;127.863;55562
2013.07.10;127.862;130.239;127.647;130.235;64954
2013.07.11;130.236;132.066;130.060;130.957;86326
2013.07.12;130.958;131.001;129.992;130.651;51799
2013.07.15;130.664;130.788;129.934;130.660;46584
2013.07.16;130.660;131.742;130.524;131.533;53612
2013.07.17;131.541;131.781;130.831;131.228;53103
2013.07.18;131.228;131.255;130.668;131.113;46144
2013.07.19;131.115;131.539;130.891;131.408;43742
2013.07.22;131.366;132.179;131.358;131.842;40714
2013.07.23;131.839;132.386;131.634;132.232;43294
2013.07.24;132.233;132.560;131.772;131.972;48714
2013.07.25;131.969;132.956;131.655;132.759;50029
2013.07.26;132.758;132.968;132.526;132.765;43962
2013.07.29;132.792;132.949;132.393;132.620;41825
